1|Smoke Detector |1FL By Facp
|2|Smoke Detector |1FL Elev Lobby
|3|Smoke Detector |1FL Pump Rm
|4|Smoke Detector |1FL Compactor Rm
|5|Smoke Detector |1FL Gas Meter Room
|6|Smoke Detector |1FL Water Room
|7|Blank|Smoke
|8|Blank|Smoke
|9|Blank|Smoke
|10|Smoke Detector |2FL Elevator Lobby
|11|Smoke Detector |2FL Mech Closet Room
|12|Heat Detector|2FL Laundry Room
|13|Blank|Smoke
|14|Blank|Smoke
|15|Blank|Smoke
|16|Blank|Smoke
|17|Blank|Smoke
|18|Blank|Smoke
|19|Blank|Smoke
|20|Blank|Smoke
|21|Blank|Smoke
|22|Blank|Smoke
|23|Blank|Smoke
|24|Blank|Smoke
|25|Blank|Smoke
|26|Blank|Smoke
|27|Blank|Smoke
|28|Blank|Smoke
|29|Blank|Smoke
|30|Smoke Detector |3FL Elevator Lobby
|31|Smoke Detector |3FL Mech Closet Room
|32|Smoke Detector |3FL Refuse Room
|33|Blank|Smoke
|34|Blank|Smoke
|35|Blank|Smoke
|36|Blank|Smoke
|37|Blank|Smoke
|38|Blank|Smoke
|39|Blank|Smoke
|40|Smoke Detector |4FL Elevator Lobby
|41|Smoke Detector |4FL Mech Closet Room
|42|Blank|Smoke
|43|Blank|Smoke
|44|Blank|Smoke
|45|Blank|Smoke
|46|Blank|Smoke
|47|Blank|Smoke
|48|Blank|Smoke
|49|Blank|Smoke
|50|Smoke Detector |5FL Eelvaotr Lobby
|51|Smoke Detector |5FL Mech Closet Room
|52|Blank|Smoke
|53|Blank|Smoke
|54|Blank|Smoke
|55|Blank|Smoke
|56|Blank|Smoke
|57|Blank|Smoke
|58|Blank|Smoke
|59|Blank|Smoke
|60|Smoke Detector |6FL Eelvaotr Lobby
|61|Smoke Detector |6FL Mech Closet Room
|62|Smoke Detector |6FL Refuse Room
|63|Blank|Smoke
|64|Blank|Smoke
|65|Blank|Smoke
|66|Blank|Smoke
|67|Blank|Smoke
|68|Blank|Smoke
|69|Blank|Smoke
|70|Smoke Detector |7FL Elevator Lobby
|71|Smoke Detector |7FL Mech Closet Room
|72|Blank|Smoke
|73|Blank|Smoke
|74|Blank|Smoke
|75|Blank|Smoke
|76|Blank|Smoke
|77|Blank|Smoke
|78|Blank|Smoke
|79|Blank|Smoke
|80|Smoke Detector |8FL Elevator Lobby
|81|Smoke Detector |8FL Mech Closet Room
|82|Blank|Smoke
|83|Blank|Smoke
|84|Blank|Smoke
|85|Blank|Smoke
|86|Blank|Smoke
|87|Blank|Smoke
|88|Blank|Smoke
|89|Blank|Smoke
|90|Smoke Detector |9FL Elevator Lobby
|91|Smoke Detector |9FL Mech Closet Room
|92|Smoke Detector |9FL Refuse Room
|93|Smoke Det |Top Of Shaft A
