Zone,Type,Location,Overrides
1.1,Smoke Detector,1FL Electric RM,
2.1,Pull Station,1FL Electric RM,
3.1,Smoke Detector,1FL Sprinkler RM,
4.1,Waterflow,1FL Sprinkler RM,
4.2,Valve Tamper,1FL Sprinkler RM,
5.1,Valve Tamper,1FL Sprinkler RM,
5.2,Valve Tamper,1FL Sprinkler RM,
6.1,Heat Detector,1FL Laundry RM,
7.1,Smoke Detector,1FL Elev Lobby,
8.1,Smoke Detector,1FL Compactor RM,
9.1,Waterflow,1FL Compactor RM,
9.2,Valve Tamper,1FL Compactor RM,
10.1,Smoke Detector,2FL Elev Lobby,
11.1,Smoke Detector,3FL Elev Lobby,
12.1,Smoke Detector,4FL Elev Lobby,
13.1,Smoke Detector,5FL Elev Lobby,
14.1,Smoke Detector,6FL Elev Lobby,
15.1,Smoke Detector,7FL Elev Lobby,
16.1,Smoke Detector,8FL Elev Lobby,
17.1,Heat Detector,Roof HWH RM,
18.1,Damper,Roof TopOfShaft,
