address,room,floor,page,coordinates
Spare:,Spare,SUBCELLAR,2,"[437.238, 1354.9, 507.959, 1385.99]"
1,S,SUBCELLAR,2,"[2462.85, 2174.13, 2476.56, 2196.14]"
2,PLUMBING ROOM,SUBCELLAR,2,"[975.604, 1384.75, 989.317, 1406.76]"
3,LOW VOLTAGE ROOM,SUBCELLAR,2,"[1206.33, 1443, 1220.05, 1465.01]"
4,ATS ROOM,SUBCELLAR,2,"[1347.39, 1472.46, 1361.1, 1494.47]"
5,FIRE PUMP,SUBCELLAR,2,"[1093.1, 1084.09, 1106.81, 1106.1]"
6,LAUNDRY ROOM,SUBCELLAR,2,"[1335.72, 1147.8, 1349.43, 1169.81]"
7,COMPACTOR ROOM,SUBCELLAR,2,"[1415.57, 966.274, 1429.28, 988.284]"
8,METER ROOM,SUBCELLAR,2,"[1753.75, 949.692, 1767.47, 971.702]"
9,S/H EL,SUBCELLAR,2,"[1914.77, 851.073, 1928.49, 873.083]"
1,FIRE ALARM UNFUSED DISCONNECT SWITCH,SUBCELLAR,2,"[1504.31, 1390.97, 1518.02, 1412.98]"
2,RCV,SUBCELLAR,2,"[1652.36, 1134.15, 1666.07, 1156.16]"
3,PLUMBING ROOM,SUBCELLAR,2,"[765.056, 1576.31, 778.769, 1598.32]"
4,Spare,SUBCELLAR,2,"[549.379, 1327.91, 563.092, 1349.92]"
5,FIRE PUMP,SUBCELLAR,2,"[1152.01, 1160.89, 1165.72, 1182.9]"
6,LAUNDRY ROOM,SUBCELLAR,2,"[1242.58, 1082.88, 1256.3, 1104.89]"
7,Spare,SUBCELLAR,2,"[608.703, 1329.44, 622.416, 1351.45]"
8,FIRE PUMP,SUBCELLAR,2,"[979.527, 1103.63, 993.24, 1125.64]"
9,Spare,SUBCELLAR,2,"[552.173, 1282.45, 565.886, 1304.46]"
10,FIRE PUMP ROOM,SUBCELLAR,2,"[981.163, 1067.3, 1004.58, 1089.31]"
11,Spare,SUBCELLAR,2,"[607.519, 1277.72, 630.935, 1299.73]"
12,FIRE PUMP ROOM,SUBCELLAR,2,"[982.963, 1033.26, 1006.38, 1055.27]"
13,Spare,SUBCELLAR,2,"[554.729, 1226.87, 578.145, 1248.88]"
14,PUMP CONTROLLER,SUBCELLAR,2,"[986.563, 996.936, 1009.98, 1018.95]"
15,Spare,SUBCELLAR,2,"[607.841, 1227.47, 631.257, 1249.48]"
16,PUMP CONTROLLER,SUBCELLAR,2,"[995.563, 966.5, 1018.98, 988.51]"
17,Spare,SUBCELLAR,2,"[563.986, 1167.65, 587.402, 1189.66]"
18,WET S,SUBCELLAR,2,"[1302.88, 921.983, 1326.29, 943.993]"
19,Spare,SUBCELLAR,2,"[609.708, 1164.49, 633.124, 1186.5]"
Spare,Spare,cellar,3,"[2161.98, 983.706, 2226.04, 1024.02]"
10,WATER POOL,cellar,3,"[866.622, 1592.89, 890.038, 1614.9]"
11,SHEL,cellar,3,"[1914.34, 842.346, 1937.75, 864.356]"
20,WATER POE,cellar,3,"[814.917, 1560.49, 838.333, 1582.5]"
21,21,cellar,3,"[1710.33, 1112.46, 1733.75, 1134.47]"
22,Spare,cellar,3,"[2234.3, 990.056, 2257.72, 1012.07]"
Spare,Spare,1ST FLOOR,4,"[2258.2, 1070.17, 2322.26, 1105.18]"
12,S/H EL,1ST FLOOR,4,"[1913.09, 863.391, 1936.51, 885.401]"
13,S/H EL,1ST FLOOR,4,"[1721.63, 713.172, 1745.05, 735.182]"
14,S,1ST FLOOR,4,"[1350.5, 528.588, 1373.92, 550.598]"
23,COLD STORAGE,1ST FLOOR,4,"[1697.62, 1163.65, 1721.04, 1185.66]"
24,COLD STORAGE,1ST FLOOR,4,"[1720.4, 1119.8, 1743.82, 1141.81]"
25,Spare,1ST FLOOR,4,"[2266.49, 1041.97, 2289.91, 1063.98]"
26,Spare,1ST FLOOR,4,"[2329.33, 1040.92, 2352.75, 1062.93]"
"4FL5FL6FL7FL8FL",4FL,5FL,5,"[1741.1, 192.426, 1822.26, 519.7]"
Spare,Spare,5FL,5,"[2217.61, 1056.43, 2288.3, 1086.21]"
15,S/H EL,5FL,5,"[1735.43, 717.545, 1758.84, 739.555]"
27,"4TH, 6TH AND 8TH FLOOR STAIRWAY",5FL,5,"[1714.47, 1118.58, 1737.88, 1140.59]"
28,Spare,5FL,5,"[2242.75, 1001.18, 2266.17, 1023.19]"
29,Unknown,5FL,5,"[1968.23, 501.108, 1991.64, 523.118]"
30,Spare,5FL,5,"[2249.03, 914.13, 2272.45, 936.14]"
31,2FL,5FL,5,"[1966.92, 436.962, 1990.33, 458.972]"
32,unknown,5FL,5,"[2245.43, 812.02, 2268.84, 834.03]"
33,3FL,5FL,5,"[1966.92, 362.344, 1990.33, 384.354]"
34,Unknown,5FL,5,"[2237.9, 687.66, 2261.32, 709.67]"
35,7FL,5FL,5,"[1961.03, 292.962, 1984.44, 314.972]"
36,Unknown,5FL,5,"[2230.7, 573.11, 2254.12, 595.12]"
37,3FL,5FL,5,"[1962.34, 209.179, 1985.75, 231.189]"
38,Unknown,5FL,5,"[2229.07, 453, 2252.48, 475.01]"
16,$,5FL,5,"[1708.81, 659.072, 1732.22, 681.082]"
17,4FL,5FL,5,"[1825.75, 507.217, 1849.17, 529.227]"
18,4FL,5FL,5,"[1889.03, 501.108, 1912.44, 523.118]"
19,5FL,5FL,5,"[1822.7, 433.907, 1846.11, 455.917]"
20,5FL,5FL,5,"[1885.54, 431.289, 1908.95, 453.299]"
21,6FL,5FL,5,"[1816.59, 368.453, 1840.01, 390.463]"
22,6FL,5FL,5,"[1879.43, 369.325, 1902.84, 391.335]"
23,7FL,5FL,5,"[1811.35, 294.271, 1834.77, 316.281]"
24,7FL,5FL,5,"[1887.72, 292.525, 1911.13, 314.535]"
25,8FL,5FL,5,"[1817.46, 213.107, 1840.88, 235.117]"
26,8FL,5FL,5,"[1888.59, 209.616, 1912.01, 231.625]"
"10FL11FL",10FL,1FL,6,"[1763.6, 502.698, 1831.15, 597.146]"
Spare,Spare,1FL,6,"[2240.53, 1025, 2324.97, 1067.87]"
27,S/H,1FL,6,"[1728.78, 720.004, 1752.2, 742.014]"
28,S,1FL,6,"[1700.24, 683.873, 1723.66, 705.883]"
29,10FL,1FL,6,"[1845.84, 590.018, 1869.25, 612.028]"
30,10FL,1FL,6,"[1895.22, 590.709, 1918.63, 612.719]"
31,11FL,1FL,6,"[1846.2, 527.582, 1869.61, 549.592]"
32,11FL,1FL,6,"[1893.73, 527.618, 1917.14, 549.628]"
39,10TH FLOOR STAIRWAY,1FL,6,"[1720.59, 1112.02, 1744.01, 1134.03]"
40,Spare,1FL,6,"[2295.29, 1015.04, 2318.7, 1037.05]"
41,11FL,1FL,6,"[1944.34, 597.981, 1967.75, 619.991]"
42,42,1FL,6,"[1991.9, 597.546, 2015.32, 619.556]"
43,unknown,1FL,6,"[2030.52, 599.399, 2053.93, 621.409]"
44,Spare,1FL,6,"[2297.47, 948.166, 2320.88, 970.176]"
45,11FL,1FL,6,"[1950.89, 527.606, 1974.31, 549.616]"
46,Spare,1FL,6,"[2298.46, 880.083, 2321.87, 902.093]"
